DesignIndex,RadiusSetId,RadiusSet_um,TargetFillFactor,MinDistanceFactor,Seed,IslandCount,ActualFillFactor,TopKPeakRatio,PeakBackgroundRatioPenalty,HazeRisk,HazeRiskPenalty,Objective
241,3,[0.8 1.2 1.6 2],0.3,1,1,416,0.29162109375,0.627532085843276,0.125749541390585,0.175545733798828,0.00483203761011598,0.69570461338056
271,3,[0.8 1.2 1.6 2],0.35,1,1,416,0.29162109375,0.627532085843276,0.125749541390585,0.175545733798828,0.00483203761011598,0.69570461338056
301,3,[0.8 1.2 1.6 2],0.4,1,1,416,0.29162109375,0.627532085843276,0.125749541390585,0.175545733798828,0.00483203761011598,0.69570461338056
331,3,[0.8 1.2 1.6 2],0.45,1,1,416,0.29162109375,0.627532085843276,0.125749541390585,0.175545733798828,0.00483203761011598,0.69570461338056
7,1,[1 1.5],0.3,1,7,590,0.29939453125,0.624426047661031,0.180874066731483,0.147797460060156,0.0017442806083438,0.696453374058769
130,2,[0.8 1.2 1.8],0.3,1,10,518,0.28544189453125,0.63099120910728,0.162945096485158,0.147610114940477,0.00172866692397142,0.696665327496943
160,2,[0.8 1.2 1.8],0.35,1,10,518,0.28544189453125,0.63099120910728,0.162945096485158,0.147610114940477,0.00172866692397142,0.696665327496943
190,2,[0.8 1.2 1.8],0.4,1,10,519,0.28564208984375,0.63099120910728,0.162945096485158,0.147610114940477,0.00172866692397142,0.696665327496943
220,2,[0.8 1.2 1.8],0.45,1,10,520,0.28665283203125,0.63099120910728,0.162945096485158,0.147610114940477,0.00172866692397142,0.696665327496943
6,1,[1 1.5],0.3,1,6,590,0.29898193359375,0.629084413284722,0.168663141896589,0.147968794887628,0.00175862142009509,0.696909620049004
123,2,[0.8 1.2 1.8],0.3,1,3,506,0.2761474609375,0.635230124682473,0.144072761772926,0.156358340730024,0.00253265255287457,0.69831885406737
153,2,[0.8 1.2 1.8],0.35,1,3,506,0.2761474609375,0.635230124682473,0.144072761772926,0.156358340730024,0.00253265255287457,0.69831885406737
183,2,[0.8 1.2 1.8],0.4,1,3,506,0.2761474609375,0.635230124682473,0.144072761772926,0.156358340730024,0.00253265255287457,0.69831885406737
213,2,[0.8 1.2 1.8],0.45,1,3,506,0.2761474609375,0.635230124682473,0.144072761772926,0.156358340730024,0.00253265255287457,0.69831885406737
20,1,[1 1.5],0.3,1.2,10,521,0.2670068359375,0.629363638232869,0.179907194734142,0.141469072422604,0.00125572412434028,0.69860977701152
50,1,[1 1.5],0.35,1.2,10,522,0.26732421875,0.629363638232869,0.179907194734142,0.141469072422604,0.00125572412434028,0.69860977701152
80,1,[1 1.5],0.4,1.2,10,523,0.26802978515625,0.629363638232869,0.179907194734142,0.141469072422604,0.00125572412434028,0.69860977701152
110,1,[1 1.5],0.45,1.2,10,523,0.26802978515625,0.629363638232869,0.179907194734142,0.141469072422604,0.00125572412434028,0.69860977701152
219,2,[0.8 1.2 1.8],0.45,1,9,509,0.28642333984375,0.631060837671283,0.148365037493598,0.162734097571803,0.00321502869964699,0.699063744292277
129,2,[0.8 1.2 1.8],0.3,1,9,504,0.28410400390625,0.632432620850269,0.144288706125215,0.163560107656887,0.00330938255652184,0.699480580776703
159,2,[0.8 1.2 1.8],0.35,1,9,505,0.2843017578125,0.632432620850269,0.144288706125215,0.163560107656887,0.00330938255652184,0.699480580776703
189,2,[0.8 1.2 1.8],0.4,1,9,507,0.28495361328125,0.632432620850269,0.144288706125215,0.163560107656887,0.00330938255652184,0.699480580776703
366,4,[0.6 1 1.4 1.8],0.3,1,6,516,0.26468017578125,0.633309736632441,0.162516983907437,0.149330277761402,0.00187466513056154,0.699564006652851
396,4,[0.6 1 1.4 1.8],0.35,1,6,516,0.26468017578125,0.633309736632441,0.162516983907437,0.149330277761402,0.00187466513056154,0.699564006652851
426,4,[0.6 1 1.4 1.8],0.4,1,6,516,0.26468017578125,0.633309736632441,0.162516983907437,0.149330277761402,0.00187466513056154,0.699564006652851
456,4,[0.6 1 1.4 1.8],0.45,1,6,516,0.26468017578125,0.633309736632441,0.162516983907437,0.149330277761402,0.00187466513056154,0.699564006652851
11,1,[1 1.5],0.3,1.2,1,521,0.27041015625,0.629175863828275,0.172826829286098,0.150916052516071,0.00201449967025396,0.699737752429679
41,1,[1 1.5],0.35,1.2,1,521,0.27041015625,0.629175863828275,0.172826829286098,0.150916052516071,0.00201449967025396,0.699737752429679
71,1,[1 1.5],0.4,1.2,1,521,0.27041015625,0.629175863828275,0.172826829286098,0.150916052516071,0.00201449967025396,0.699737752429679
101,1,[1 1.5],0.45,1.2,1,522,0.27072509765625,0.629175863828275,0.172826829286098,0.150916052516071,0.00201449967025396,0.699737752429679
370,4,[0.6 1 1.4 1.8],0.3,1,10,518,0.2622900390625,0.635859247335491,0.16393433533264,0.145877510635154,0.00158759503001376,0.701174239851984
400,4,[0.6 1 1.4 1.8],0.35,1,10,518,0.2622900390625,0.635859247335491,0.16393433533264,0.145877510635154,0.00158759503001376,0.701174239851984
430,4,[0.6 1 1.4 1.8],0.4,1,10,520,0.26342041015625,0.635859247335491,0.16393433533264,0.145877510635154,0.00158759503001376,0.701174239851984
